CRATER_ID,LAT,LON,DIAM,AGE_MEAN,AGE_STD,CI_LOWER,CI_UPPER
09-1-186484,-56.7044,158.145,9.38891,3.9437,0.0637,3.8188,4.0686
08-1-000084,55.9846,138.885,12.6182,3.8299,0.0673,3.6979,3.9618
03-1-127172,-45.2823,238.987,10.6648,3.9362,0.0617,3.8153,4.057
08-1-000098,59.1332,143.753,16.5431,3.6653,0.0618,3.5442,3.7864
03-1-153518,-56.4765,232.32,11.4012,3.9506,0.0622,3.8287,4.0725
01-1-001032,80.8703,329.728,48.22,3.9728,0.0555,3.8641,4.0816
07-1-002496,-56.2568,14.6142,13.1549,3.9626,0.0634,3.8383,4.0868
05-1-000243,-19.715,299.672,19.9903,3.317,0.0641,3.1913,3.4427
07-1-149388,-39.4565,25.4764,8.10985,3.8905,0.0509,3.7908,3.9902
02-1-001359,24.8798,229.329,25.8151,3.9302,0.0439,3.8441,4.0162
02-1-132544,39.1221,198.659,8.76499,3.9052,0.0622,3.7833,4.0271
02-1-108555,30.1735,218.514,14.9864,3.9719,0.0396,3.8942,4.0495
10-1-001269,-61.2304,189.688,8.06726,3.6442,0.0722,3.5027,3.7857
02-1-157189,48.6193,220.95,9.34774,3.8804,0.0485,3.7854,3.9754
01-1-000209,69.5912,208.626,12.4033,3.5762,0.0621,3.4545,3.6979
07-1-138869,-36.2696,31.4731,8.86114,3.9135,0.0448,3.8257,4.0014
07-1-183132,-47.1804,56.1124,8.0401,3.9203,0.0515,3.8194,4.0213
02-2-000070,47.1299,244.873,55.1233,3.9755,0.0419,3.8933,4.0577
10-1-001085,-70.9451,216.224,14.9695,3.9338,0.0458,3.8441,4.0235
09-2-001345,-30.2809,91.9927,9.25623,3.9237,0.0489,3.8279,4.0195
08-1-032359,8.54906,149.758,18.0451,3.9498,0.0549,3.8422,4.0574
07-2-003169,-44.3008,45.9644,21.4077,3.9415,0.066,3.8122,4.0708
02-1-027768,7.971,231.445,13.764,3.7596,0.0773,3.608,3.9112
07-1-206884,-53.8185,8.33738,8.92099,3.8764,0.061,3.7569,3.996
02-1-173771,56.8282,250.556,9.32525,3.9441,0.0556,3.835,4.0532
07-1-002217,-51.697,82.5375,16.8098,3.6516,0.0712,3.512,3.7912
05-1-001679,-56.1934,282.014,11.2626,3.9058,0.0535,3.801,4.0105
01-1-068725,65.4316,104.237,9.67016,3.8899,0.0518,3.7882,3.9915
04-1-000274,46.115,291.807,11.832,3.2095,0.055,3.1017,3.3173
03-1-001172,-46.3266,188.295,21.3195,3.9189,0.0761,3.7697,4.068
07-1-001969,-49.2474,6.28974,80.2427,3.9777,0.0512,3.8774,4.078
05-1-001800,-58.5808,282.883,14.6055,3.9347,0.0571,3.8227,4.0467
07-2-000018,-21.0052,2.98081,31.2016,3.941,0.0739,3.7962,4.0858
07-1-001931,-44.4312,7.00669,9.77589,3.9462,0.0525,3.8433,4.049
10-1-042829,-70.5166,314.793,8.22178,3.7913,0.0624,3.6689,3.9136
09-1-007634,-1.67359,174.167,16.3537,3.9124,0.0606,3.7937,4.0312
02-1-135511,41.0208,249.205,12.7665,3.9362,0.0589,3.8207,4.0517
02-2-000510,12.384,196.512,10.1233,3.9259,0.0657,3.7972,4.0546
09-1-000562,-18.0743,114.873,13.3222,3.8669,0.0512,3.7667,3.9672
05-1-000986,-42.4699,336.385,8.81046,3.8748,0.061,3.7551,3.9944
02-1-007607,1.72094,210.314,8.46743,3.959,0.0677,3.8263,4.0916
05-2-012865,-35.3307,280.676,18.4271,3.9145,0.0604,3.796,4.0329
02-1-001556,17.8584,233.117,16.734,3.9067,0.0557,3.7975,4.0159
03-1-001327,-56.0427,233.282,9.67975,3.9031,0.0492,3.8066,3.9996
08-1-000119,57.9677,144.386,22.595,3.896,0.0699,3.7591,4.033
07-1-109842,-29.8992,40.3092,8.10926,3.8545,0.0587,3.7394,3.9695
09-1-053173,-13.6348,90.2868,8.5869,3.8802,0.046,3.79,3.9704
03-1-001101,-50.5574,222.624,66.809,3.9678,0.065,3.8404,4.0951
02-1-000397,45.9358,191.809,12.4176,3.8836,0.0433,3.7987,3.9686
08-1-000208,55.448,173.567,9.88005,3.9036,0.0449,3.8155,3.9917
01-1-001217,70.7234,40.1854,15.0818,3.9342,0.0506,3.8349,4.0334
02-1-122024,36.1071,187.004,19.6294,3.9237,0.0768,3.7733,4.0742
09-1-007513,-1.80418,177.176,9.36523,3.9337,0.0539,3.828,4.0395
09-1-094934,-24.5686,124.547,8.93228,3.8348,0.0787,3.6805,3.989
06-1-000493,31.8855,81.9085,9.26397,3.8826,0.0415,3.8012,3.9639
05-1-000640,-34.8861,334.698,10.9288,3.929,0.0572,3.8169,4.041
07-1-194283,-50.4732,89.8611,9.26019,3.8591,0.0733,3.7155,4.0027
05-1-001914,-58.9308,280.453,8.69292,3.6088,0.0561,3.4988,3.7188
02-1-172236,55.805,227.652,10.2463,3.6038,0.0718,3.4632,3.7445
01-1-000844,64.9869,277.019,9.48316,3.6944,0.0733,3.5507,3.8381
03-1-136944,-48.9863,251.599,10.7577,3.948,0.0634,3.8236,4.0723
02-1-113906,32.7878,243.37,8.20688,3.5303,0.0958,3.3425,3.718
03-1-069474,-22.7689,241.388,12.0888,3.9205,0.079,3.7657,4.0754
09-1-000691,-27.6232,171.364,14.8683,3.6246,0.0789,3.47,3.7793
02-1-125950,37.422,241.391,8.66754,3.6012,0.0522,3.4988,3.7036
03-1-000489,-15.3022,192.452,13.533,3.8897,0.0593,3.7735,4.0058
10-1-154962,-68.6139,171.14,13.7774,3.8367,0.06,3.7191,3.9543
05-1-000855,-40.0681,351.802,12.0833,3.8835,0.0531,3.7795,3.9875
06-1-024993,10.6455,67.9673,9.87505,3.8557,0.0563,3.7454,3.966
02-1-049760,12.8715,180.01,9.90011,3.9048,0.0734,3.7609,4.0486
08-1-099851,25.2946,132.985,8.08456,3.889,0.0743,3.7434,4.0345
02-1-104281,29.3475,200.814,9.95568,3.9511,0.071,3.812,4.0902
08-1-000279,48.6709,151.046,17.6578,3.9024,0.059,3.7868,4.018
10-1-000540,-62.9857,290.444,10.1762,3.9224,0.0412,3.8417,4.0031
03-1-071576,-23.9575,223.452,13.8879,3.9178,0.0811,3.7588,4.0768
08-1-135212,34.0623,176.884,15.1118,3.9293,0.0794,3.7736,4.0849
03-2-000001,-17.2658,183.381,93.9785,3.9751,0.0709,3.8362,4.114
03-1-042890,-15.2631,246.684,32.6603,3.8987,0.0588,3.7834,4.014
05-1-022606,-9.02846,351.816,9.5079,3.9368,0.0573,3.8244,4.0492
03-1-000554,-28.6486,197.183,12.0726,3.5821,0.0492,3.4857,3.6785
07-1-000958,-29.0955,20.5317,9.88024,3.873,0.0522,3.7707,3.9753
07-1-001970,-49.4166,18.4445,17.2882,3.8751,0.0597,3.7582,3.992
01-1-000646,70.3076,262.089,14.9832,3.7495,0.0511,3.6494,3.8497
06-1-000558,27.6182,89.0325,13.6672,3.5303,0.0683,3.3964,3.6642
03-1-001215,-55.1674,191.549,10.3312,3.6678,0.0719,3.5268,3.8087
09-1-000142,-6.81152,134.314,55.7695,3.953,0.0536,3.8479,4.0582
08-1-204684,53.0565,162.451,11.7711,3.8833,0.0457,3.7937,3.973
03-1-031826,-10.8487,199.548,8.44694,3.8507,0.0539,3.7451,3.9563
08-1-025443,5.92128,93.5214,14.3087,3.9405,0.0528,3.8371,4.0439
09-1-191842,-59.8105,162.964,9.23495,3.8289,0.0711,3.6896,3.9683
02-1-152411,47.0104,241.796,13.0401,3.9211,0.0602,3.803,4.0391
09-1-065891,-17.1638,164.959,9.09947,3.8485,0.0682,3.7148,3.9822
01-1-000640,73.7257,257.434,14.3482,3.2528,0.0671,3.1212,3.3844
08-1-075390,19.0085,122.33,12.1484,3.9354,0.0506,3.8362,4.0346
08-1-050403,13.1657,111.121,11.5516,3.8662,0.0468,3.7745,3.9579
07-2-000013,-11.3785,64.5025,18.4592,3.9136,0.0637,3.7888,4.0384
07-1-002120,-44.2753,57.4905,18.4749,3.9494,0.0608,3.8302,4.0686
01-1-151153,65.6984,309.568,93.0199,3.9734,0.0691,3.838,4.1088
08-2-001496,42.3888,172.031,10.1422,3.853,0.0678,3.7201,3.9859
