CRATER_ID,LAT,LON,DIAM,AGE_MEAN,AGE_STD,CI_LOWER,CI_UPPER
09-1-001507,-52.4726,106.103,7.53907,3.869,0.0628,3.7458,3.9921
02-1-000353,44.4445,188.729,17.7064,3.371,0.06,3.2533,3.4886
09-1-188513,-58.674,128.676,6.1062,3.5339,0.0604,3.4156,3.6522
03-1-065294,-21.3006,203.388,10.0049,3.8746,0.0662,3.7449,4.0043
08-1-001136,32.9569,127.238,12.4028,3.8246,0.0631,3.701,3.9483
09-1-173254,-49.8698,162.84,10.5298,3.8903,0.0582,3.7763,4.0042
10-1-078744,-79.5438,289.166,6.77188,3.6113,0.0527,3.508,3.7146
03-1-000877,-39.0835,211.753,48.5434,3.8646,0.0633,3.7406,3.9887
03-1-021065,-7.778,191.239,10.1137,3.8569,0.0493,3.7603,3.9535
10-1-037702,-65.7467,50.5695,8.20708,3.8846,0.0514,3.7838,3.9853
08-1-151342,37.8998,170.755,9.60293,3.7241,0.0786,3.5701,3.8782
01-1-177019,65.0409,331.109,5.00148,3.8837,0.0621,3.7621,4.0053
09-1-034411,-8.45754,170.013,10.1574,3.8641,0.0847,3.6981,4.0302
03-1-000310,-15.9563,223.459,13.2113,3.8886,0.0693,3.7527,4.0245
08-1-040317,10.3028,160.654,6.48439,3.9161,0.0706,3.7778,4.0545
07-1-132710,-35.8225,50.5752,6.23532,3.8726,0.055,3.7649,3.9803
01-1-038782,70.2377,227.56,5.53124,3.7916,0.0547,3.6844,3.8988
04-1-000704,2.22827,292.62,110.731,3.9452,0.0605,3.8267,4.0637
07-1-073293,-19.2273,28.6104,7.8855,3.8527,0.063,3.7292,3.9761
07-1-002208,-46.1706,87.3135,35.1055,3.8989,0.0506,3.7996,3.9982
03-1-116997,-40.3491,234.866,8.04522,3.898,0.0424,3.8149,3.9811
08-1-132683,32.7223,121.704,6.76508,3.8656,0.0505,3.7667,3.9645
07-1-000692,-20.6294,68.668,63.1457,4.0211,0.0513,3.9207,4.1216
08-1-173093,43.0458,111.802,8.35863,3.9248,0.0461,3.8344,4.0151
07-1-186338,-48.559,59.0999,8.98671,3.8822,0.0641,3.7565,4.0079
02-1-001493,15.7936,205.51,23.9545,3.9128,0.0479,3.8188,4.0067
08-1-001723,15.3953,151.616,18.665,3.1213,0.054,3.0155,3.2271
03-2-001186,-11.4952,186.771,11.3172,3.9168,0.0666,3.7862,4.0474
01-1-042945,85.8407,203.035,5.00206,3.6842,0.0731,3.5409,3.8274
10-1-047965,-67.9024,305.265,9.6913,3.8883,0.0713,3.7485,4.028
02-1-007313,1.59863,216.726,5.42469,3.8308,0.0607,3.7119,3.9497
02-1-149573,45.2053,189.921,7.56702,3.8659,0.0742,3.7204,4.0113
07-1-122243,-33.9039,5.70831,13.2802,3.9621,0.0504,3.8634,4.0609
01-1-049669,78.2613,202.754,7.35738,3.7422,0.0584,3.6276,3.8567
01-1-011028,65.5506,162.368,8.10637,3.787,0.0522,3.6848,3.8893
10-1-000813,-63.7938,86.9043,40.8066,3.9923,0.0521,3.8901,4.0945
08-1-179955,45.2051,97.6352,9.16263,3.8934,0.0802,3.7361,4.0506
09-1-103596,-26.9242,129.798,6.64613,3.844,0.0484,3.7492,3.9388
08-1-043226,10.6325,108.409,7.26823,3.9627,0.0442,3.876,4.0493
09-1-000836,-27.9217,99.021,51.4121,3.9508,0.0442,3.8642,4.0373
08-1-029620,7.66635,156.792,8.62788,3.869,0.0687,3.7344,4.0035
01-1-001465,66.5284,337.153,50.6436,4.0096,0.062,3.8881,4.1311
08-1-002219,0.573208,120.697,7.60821,3.7795,0.0732,3.636,3.923
05-1-000710,-35.7988,335.54,7.01151,3.9465,0.0667,3.8159,4.0772
03-1-034234,-11.5853,220.058,7.21771,3.9217,0.0527,3.8184,4.025
03-1-096488,-32.4762,235.182,12.6971,3.922,0.0595,3.8054,4.0385
06-1-000903,12.9547,87.7324,14.1297,3.9491,0.0597,3.832,4.0662
09-1-000576,-16.641,121.018,13.0383,3.8894,0.0442,3.8027,3.976
08-1-017872,4.99947,104.791,7.14242,3.9254,0.0432,3.8406,4.0101
04-1-000618,12.5938,313.957,15.1552,3.3036,0.0671,3.1722,3.435
02-1-076693,20.2396,221.913,5.2405,3.9315,0.0525,3.8285,4.0345
02-1-000091,57.312,250.708,11.1148,3.9258,0.041,3.8453,4.0062
